"Timestamp","1. When you're coding, how often do you have R open somewhere on your computer (in any form, including RStudio desktop, RStudio server, or Microsoft R Open)? Note: If “never,” please feel free to skip the remaining questions.","2. When you're coding, how often are you listening to music? Note: If “never,” please feel free to skip the remaining questions. Though also feel free to read out of curiosity and answer when it makes sense.","3. Do you enjoy hearing music that's new to you... including while you code? Note: If “actively dislike,” please feel free to skip the remaining questions. Though also feel free to read out of curiosity and answer when it makes sense.","4. How often do you share the music you're listening to with other people?","5–8. Of the time you're coding to music, how often do you listen to… [a set playlist]","5–8. Of the time you're coding to music, how often do you listen to… [a radio-like experience]","5–8. Of the time you're coding to music, how often do you listen to… [a song on repeat]","5–8. Of the time you're coding to music, how often do you listen to… [random songs]","9. Only if you're comfortable answering: When you have R open, how often is it running on a remote machine, e.g. on RStudio Server or via SSH?","1. A real-time collaborative playlist / radio experience? You & others would listen to the same music at the same time, and any of you can add music for the group as you go.","2. Interacting with the playlist using R (connected to a server via plumber API)? For example, there might be functions to list and join active stations, add tracks, upvote / downvote songs, flag content, and save music for later.","3. Connecting your listening experience to Twitter? I.e. you might know that you're collaborating with @thomasp85 on a station inspired by Koop, or you could invite @beeonaposy to listen to Ratatat.","4. Creating and editing playlists within the same experience? For example, sometimes you might just listen to a playlist—but this feature would also help you organize tracks for easy recall later.","5. All your data being available to you, in a tidy format, to remember just what you listened to on what stations and when?","6. Sharing some of that data? You would have control over what listening history / upvoting / downvoting / flagging data is publicly visible.","7. Being able to save your active R project name and filename as secure, one-way hashes? That way you could ask “what songs did I listen to when I was working on this code?” But you couldn't ask “what projects and files did I code to this song?” (And more importantly, no one else could.)","8. As a data scientist, being able to create & deploy your own music-selecting bots to add tracks to a shared station? You could use R (tutorials + vignettes TBD), with whatever data you and other R users make available as you listen to music.","9. As a member of the #rstats community, being able to check out the results of other people's music bots?","10. A shiny web app to open this functionality to non-R-users? That way it's not cloistered within the #rstats community. It would still be R-native, though, and (to borrow a phrase from @tylermorganwall) data would be a first-class citizen.","1. How would you prioritize... the ability to import your current playlists from other services and websites?","2. How would you prioritize... the ability to sync playlists / favorites back to other services or websites?","3. If you're comfortable answering, what's streaming service(s) do you usually use to listen to music (e.g. Spotify, Amazon, Apple, Google, YouTube, SoundCloud, or just owned music)?","4. Among the services you use: Some people have a strong preference for 1–2 music services—maybe they have a long history with it or they pay for a subscription—while others bounce around and listen to music wherever they find it. Where would you place yourself in that spectrum?","5. If you have a strong preference, do you mind sharing it? If you don't mind, please share below:","6. How would you want the project to handle it the situation described?","7. How would you prioritize your preferred solution? (Doesn't apply to all answers.)","8. Any other comments on music service integration?","1. Several companies offer authentication services, where you “Sign in with [company name]” (often called OAuth2). If I picked, say, 1–2 that most people are OK with, it would streamline the process quite a bit. Which of the following authentication options might you use if it was available? (Select one or more that apply.)","2. Are there any of these services you would *not* use for authentication? I wouldn't want to prioritize an option that most people are actively opposed to.","3. Please share anything else you’d like to on authentication. This is important to me, as it could be a barrier to adoption, and it could also be simple to address.","1. If in the end this appears to be a good idea—good enough to continue—would you be interested in helping out in any of these ways? If so, please reach out via Twitter (@BenjaminWolfe) or R4DS.online (DM Benjamin Wolfe), or share your contact information in the comments (Twitter or R4DS Slack preferred).","2. Anything else you'd like to say or ask after reading through the survey? If asking a question, please make sure I know who you are so I can answer you. (Again, Twitter or R4DS Slack handle is preferred, for the sake of manageability.)"
"2020/03/03 10:19:10 AM EST","5","3","4","rarely","5 (almost always)","1 (never)","2","4","3","🤞I'm curious","🤞I'm curious","🤞I'm curious","🤞I'm curious","❤️love it","❤️love it","🤷‍♀️maybe?","🤞I'm curious","🤞I'm curious","🤞I'm curious","2","3","Spotify","4","Spotify","the crowdsourced way (see above)","4","","Google;Twitter;GitHub","Facebook;Apple;Amazon;Bitbucket","","bounce ideas around on design or implementation strategy;help code or test a feature;help write documentation & vignettes;retweet about a cool finished product",""
"2020/03/03 10:35:25 AM EST","5","4","3","sometimes","4","3","4","2","4","❤️love it","❤️love it","🤞I'm curious","🤞I'm curious","❤️love it","❤️love it","❌no interest","🤷‍♀️maybe?","🤷‍♀️maybe?","❤️love it","3","3","Amazon, Google music, YouTube, Soundcloud","4","Not spotify","the crowdsourced way (see above)","","","Twitter;GitHub","Facebook;Bitbucket","","bounce ideas around on design or implementation strategy;help code or test a feature;help write documentation & vignettes;retweet about a cool finished product",""
"2020/03/03 10:38:31 AM EST","3","4","4","sometimes","5 (almost always)","1 (never)","2","3","2","🤞I'm curious","❤️love it","❤️love it","❤️love it","❤️love it","❤️love it","❤️love it","❤️love it","❤️love it","❤️love it","5","2","Spotify","5","Spotify","the simple way (see above)","2","Spotify connection would be most important for me","Spotify","Google;Twitter;Facebook","Please allow just regular ol' username and password!","bounce ideas around on design or implementation strategy;help code or test a feature;help write documentation & vignettes;retweet about a cool finished product","Thanks for the shoutout. This sounds like an awesome project! (from Caitlin)"
"2020/03/03 10:48:21 AM EST","5","5","3","rarely","3","3","1 (never)","4","5","🤷‍♀️maybe?","🤞I'm curious","🤞I'm curious","🤞I'm curious","❤️love it","🤷‍♀️maybe?","🤷‍♀️maybe?","🤷‍♀️maybe?","🤞I'm curious","🤷‍♀️maybe?","2","2","YouTube, SoundCloud","3","","the crowdsourced way (see above)","3","","Google;Twitter;GitHub","Facebook","","",""
"2020/03/03 10:49:21 AM EST","5","4","3","often","5 (almost always)","1 (never)","2","1 (never)","2","🤞I'm curious","🤷‍♀️maybe?","❤️love it","🤞I'm curious","❤️love it","❤️love it","❤️love it","🤞I'm curious","🤞I'm curious","🤞I'm curious","","","","","","","","","","","","",""
"2020/03/03 10:56:53 AM EST","5","4","2","rarely","4","3","3","1 (never)","2","❌no interest","❌no interest","","","","","","","","","","","","","","","","","","","","",""
"2020/03/03 10:57:11 AM EST","5","4","3","sometimes","3","5 (almost always)","4","1 (never)","2","🤷‍♀️maybe?","❤️love it","🤷‍♀️maybe?","❤️love it","❤️love it","🤷‍♀️maybe?","🤞I'm curious","❤️love it","❌no interest","🤞I'm curious","5","5","Spotify, Amazon, YouTube ","2","","no preference","","","Google;Spotify","Facebook","","retweet about a cool finished product",""
"2020/03/03 12:10:41 PM EST","5","5","2","never","5 (almost always)","2","3","1 (never)","1","🤷‍♀️maybe?","🤷‍♀️maybe?","❌no interest","❌no interest","❌no interest","❌no interest","❌no interest","❌no interest","🤷‍♀️maybe?","🤷‍♀️maybe?","5","5","Spotify","5","Spotify","the crowdsourced way (see above)","3","","Google;Spotify","Twitter;Facebook;Apple","","",""
"2020/03/03 12:47:55 PM EST","5","3","4","rarely","2","","1 (never)","1 (never)","1","🤞I'm curious","❤️love it","🤷‍♀️maybe?","🤷‍♀️maybe?","❌no interest","❌no interest","❌no interest","🤷‍♀️maybe?","🤷‍♀️maybe?","🤷‍♀️maybe?","5","5","Spotify","4","Spotify","the crowdsourced way (see above)","2","","Google;Twitter;Spotify;GitHub","Facebook;Apple;Amazon;GitLab;Bitbucket","","bounce ideas around on design or implementation strategy;help code or test a feature",""
"2020/03/03 2:15:48 PM EST","5","3","5","sometimes","2","4","1 (never)","1 (never)","3","🤞I'm curious","🤞I'm curious","🤞I'm curious","❤️love it","❤️love it","🤞I'm curious","🤞I'm curious","🤞I'm curious","🤞I'm curious","🤞I'm curious","2","1","Google, YouTube","4","Google music","the simple way (see above)","3","","Twitter;GitHub","Facebook;Apple;Amazon","","help write documentation & vignettes;retweet about a cool finished product",""
